Date,Open,High,Low,Close,Adj Close,Volume
1989-07-20,0.347656,0.371094,0.347656,0.347656,0.188419,33836800
1989-07-21,0.347656,0.351563,0.335938,0.335938,0.182068,9337600
1989-07-24,0.335938,0.339844,0.335938,0.339844,0.184185,3699200
1989-07-25,0.339844,0.347656,0.335938,0.339844,0.184185,1820800
1989-07-26,0.339844,0.351563,0.339844,0.343750,0.186302,2361600
1989-07-27,0.343750,0.355469,0.343750,0.355469,0.192653,4419200
1989-07-28,0.355469,0.355469,0.347656,0.347656,0.188419,5072000
1989-07-31,0.347656,0.355469,0.347656,0.347656,0.188419,1932800
1989-08-01,0.347656,0.351563,0.343750,0.343750,0.186302,2662400
1989-08-02,0.343750,0.351563,0.343750,0.347656,0.188419,3577600
1989-08-03,0.347656,0.355469,0.347656,0.347656,0.188419,2448000
1989-08-04,0.347656,0.355469,0.347656,0.347656,0.188419,1939200
1989-08-07,0.347656,0.347656,0.347656,0.347656,0.188419,208000
1989-08-08,0.351563,0.359375,0.351563,0.355469,0.192653,10144000
1989-08-09,0.355469,0.359375,0.355469,0.355469,0.192653,1433600
1989-08-10,0.355469,0.359375,0.355469,0.355469,0.192653,1491200
1989-08-11,0.355469,0.359375,0.355469,0.355469,0.192653,1955200
1989-08-14,0.355469,0.359375,0.355469,0.355469,0.192653,499200
1989-08-15,0.355469,0.359375,0.347656,0.347656,0.188419,1107200
1989-08-16,0.347656,0.359375,0.343750,0.343750,0.186302,1504000
1989-08-17,0.343750,0.351563,0.343750,0.351563,0.190536,409600
1989-08-18,0.351563,0.351563,0.339844,0.339844,0.184185,851200
1989-08-21,0.339844,0.343750,0.320313,0.320313,0.173599,953600
1989-08-22,0.320313,0.324219,0.316406,0.320313,0.173599,1433600
1989-08-23,0.320313,0.324219,0.320313,0.320313,0.173599,272000
1989-08-24,0.320313,0.328125,0.320313,0.324219,0.175716,505600
1989-08-25,0.324219,0.332031,0.320313,0.324219,0.175716,854400
1989-08-28,0.324219,0.332031,0.324219,0.332031,0.179950,35200
1989-08-29,0.332031,0.335938,0.328125,0.328125,0.177833,636800
1989-08-30,0.328125,0.335938,0.328125,0.335938,0.182068,1542400
